1N4733A,NXP Semiconductors,1290,pcs,20+,0.16,"New and original, L/T: 2-3 weeks",1N4733A,
1N4740A,LGE,1290,pcs,21+,0.15,"New and original, in stock",1N4740A,China brand
1N4743A,NXP Semiconductors,1290,pcs,21+,0.07,"New and original, in stock","1N4743A,113",
1N4745A,NXP Semiconductors,1290,pcs,20+,0.17,"New and original, L/T: 2-3 weeks","1N4745A,113",
74HC132D,NXP Semiconductors,1290,pcs,21+,0.12,"New and original, in stock","74HC132D,653",
AD8061ARTZ-REEL7,Analog Devices, 3000,pcs,21+,1.09,"New and original, in stock",AD8061ARTZ-REEL7,
ADF4110BRUZ,Analog Devices, 1000,pcs,22+,9.42,"New and original, in stock",ADF4110BRUZ-RL7,
ADM232LAR,Analog Devices, 3000,pcs,23+,3.91,"New and original, in stock",ADM232LARZ-REEL,
AG203-63G,Qorvo, 6000,pcs,23+,1.28,"New and original, in stock",AG203-63G,
BAS21,NXP Semiconductors,16800,pcs,21+,0.09,"New and original, in stock","BAS21,215",
BAS321,NXP Semiconductors,50400,pcs,21+,0.093,"New and original, in stock",BAS321,
BAT54C,NXP Semiconductors,46095,pcs,22+,0.008,"New and original, in stock","BAT54C,215",
BB535,Infineon Technologies,13200,pcs,21+,0.07,"New and original, in stock",BB535E7904,
BC807,NXP Semiconductors,1290,pcs,21+,0.015,"New and original, in stock",BC807,
BFR540,NXP Semiconductors, 3000,pcs,20+,0.36,"New and original, in stock",BFR540,
BLF3G21-30,Ampleon, 500,pcs,23+,172.86,"New and original, L/T: 2-3 weeks",BLF3G21-30,
BLF6G21-10G,Ampleon,1290,pcs,19+,69.57,"New and original, in stock",BLF6G21-10G,
BYS10-45,Vishay,2580,pcs,21+,0.07,"New and original, in stock",BYS10-45-E3/TR,
BZX84-B2V4,NXP Semiconductors,13800,pcs,21+,0.017,"New and original, in stock",BZX84-B2V4,
BZX84-B5V6,NXP Semiconductors,69000,pcs,21+,0.0135,"New and original, in stock",BZX84-B5V6,
BZX84-C3V3,NXP Semiconductors,17580,pcs,22+,0.015,"New and original, in stock",BZX84-C3V3,
BZX84-C6V8,NXP Semiconductors,13050,pcs,22+,0.015,"New and original, in stock",BZX84-C6V8,
D1008UK,Semelab, 225,pcs,21+,701.01,"New and original, in stock",D1008UK,
DS1337U,MAXIM,1200,pcs,21+,0.51,"New and original, in stock",DS1337U+T&R,
DS32KHZSN,MAXIM,1200,pcs,21+,7.68,"New and original, in stock",DS32KHZSN+T&R,
DTC114EKA,Rohm,14190,pcs,21+,0.015,"New and original, in stock",DTC114EKAT146,
HMC230MS8,Analog Devices,1290,pcs,15+,1.59,"New and original, in stock",HMC230MS8ETR,
HMC391LP4,Analog Devices,1290,pcs,21+,14.93,"New and original, in stock",HMC391LP4E,
IR2153S/PBF,Infineon Technologies, 5000,pcs,22+,1.01,"New and original, in stock",IR2153STRPBF,
IR4427S,Infineon/IR,3870,pcs,21+,0.44,"New and original, in stock",IR4427STRPBF,
IRF540,Infineon/IR,12000,pcs,21+,0.23,"New and original, in stock",IRF540NPBF,
IRF7607TR/PBF,Infineon/IR, 22500,pcs,13+,0.32,"New and original, in stock",IRF7607TRPBF,
IRL6372/PBF,Infineon Technologies,1500,pcs,21+,0.51,"New and original, in stock",IRL6372TRPBF,
IRLML2502TR/PBF,Infineon/IR,17550,pcs,22+,0.07,"New and original, in stock",IRLML2502TRPBF,
IRLML2803,Infineon/IR,6450,pcs,21+,0.09,"New and original, in stock",IRLML2803TRPBF,
IRLML6402,Infineon/IR,1200,pcs,21+,0.09,"New and original, in stock",IRLML6402TRPBF,
IRLML6402/PBF,Infineon/IR,750,pcs,21+,0.12,"New and original, in stock",IRLML6402TRPBF,
KSE350,ON, 30000,pcs,20+,0.64,"New and original, in stock",KSE350STU,
L4931CD33,STMicroelectronics,1200,pcs,17+,0.94,"New and original, in stock",L4931CD33-TR,
LAN8710AI-EZK,Microchip, 15000,pcs,21+,0.94,"New and original, in stock",LAN8710AI-EZK-TR,
LC03-6,Semtech,5160,pcs,21+,0.57,"New and original, in stock",LC03-6.TBT,
LC03-6TBT,Semtech,2100,pcs,21+,0.65,"New and original, in stock",LC03-6.TBT,
LM111J-8,Texas Instruments, 881,pcs,21+,10.87,"New and original, in stock",LM111J-8,
LM2576S-5.0/NOPB,Texas Instruments,10470,pcs,22+,1.01,"New and original, in stock",LM2576SX-5.0/NOPB,
LM2664M6,Texas Instruments,1290,pcs,22+,0.43,"New and original, in stock",LM2664M6X/NOPB,
LM2671M-ADJ,Texas Instruments,2580,pcs,23+,2.17,"New and original, in stock",LM2671M-ADJ/NOPB,
LM2678S-12/NOPB,Texas Instruments,1290,pcs,21+,3.33,"New and original, in stock",LM2678SX-12/NOPB,
LM2903D,ON Semiconductor,9000,pcs,21+,0.14,"New and original, in stock",LM2903DR2G,
LM2903DG,ON Semiconductor, 1600,pcs,15+,0.36,"New and original, in stock",LM2903DG,
LM57BISD-5,Texas Instruments, 2770,pcs,21+,1.36,"New and original, in stock",LM57BISD-5/NOPB,
LM6211MF,Texas Instruments,4980,pcs,21+,1.88,"New and original, in stock",LM6211MF/NOPB,
LMV321M5,Texas Instruments,2580,pcs,21+,0.43,"New and original, in stock",LMV321M5X/NOPB,
LMX2470SLEX,Texas Instruments, 600,pcs,15+,2.32,"New and original, in stock",LMX2470SLEX,
LP2951ACM,Texas Instruments,9960,pcs,21+,1.09,"New and original, in stock",LP2951ACMX/NOPB,
LP2951ACM/NOPB,Texas Instruments, 13000,pcs,21+,1.09,"New and original, in stock",LP2951ACMX/NOPB,
LP2951ACM-3.0/NOPB,Texas Instruments,16050,pcs,21+,1.86,"New and original, in stock",LP2951ACMX-3.0/NOPB,
LP2951ACM-3.3,Texas Instruments,2400,pcs,21+,0.79,"New and original, in stock",LP2951ACM-3.3/NOPB,
LP2951CD,ON Semiconductor,1200,pcs,21+,0.32,"New and original, in stock",LP2951CDR2G,
LP2981IM5-3.3,Texas Instruments,1290,pcs,21+,0.64,"New and original, in stock",LP2981IM5X-3.3/NOPB,
LP2981IM5-5.0,Texas Instruments,6450,pcs,21+,0.57,"New and original, in stock",LP2981IM5-5.0/NOPB,
LP2982AIM5-3.0/NOPB,Texas Instruments, 1000,pcs,13+,1,"New and original, L/T: 2-3 weeks",LP2982AIM5-3.0/NOPB,
LP2985IM5-2.5,Texas Instruments,1200,pcs,21+,0.41,"New and original, in stock",LP2985IM5-2.5/NOPB,
LP2985IM5-3.3,Texas Instruments,1200,pcs,21+,0.33,"New and original, in stock",LP2985IM5X-3.3/NOPB,
MA4P504-1072T,M/A-Com, 3000,pcs,21+,3.48,"New and original, in stock",MA4P504-1072T,
MASWSS0161,M/A-Com,1290,pcs,21+,9.99,"New and original, in stock",MASWSS0161TR,
MASWSS0180,M/A-Com, 3672,pcs,21+,3.19,"New and original, in stock",MASWSS0180TR-3000,
MAX3237EAI,Maxim, 2500,pcs,22+,5.22,"New and original, in stock",MAX3237EAI+T,
MAX4427ESA,Maxim,1500,pcs,22+,3.29,"New and original, in stock",MAX4427ESA+T,
MB4S,ON Semiconductor, 1800,pcs,20+,0.29,"New and original, in stock",MB4S,
MBC13916NT1,NXP Semiconductors,1200,pcs,17+,4.29,"New and original, in stock",MBC13916NT1,
MBR0540,ON Semiconductor,1290,pcs,21+,0.15,"New and original, in stock",MBR0540T1G,
MBRS340T3G,ON Semiconductor, 2500,pcs,21+,0.58,"New and original, in stock",MBRS340T3G,
MC14052BD,ON Semiconductor,1200,pcs,20+,0.64,"New and original, in stock",MC14052BDTR2G,
MC14053BD,ON Semiconductor,1200,pcs,21+,0.15,"New and original, in stock",MC14053BDR2G,
MC78L05ABDR2G,ON Semiconductor,16800,pcs,22+,0.14,"New and original, in stock",MC78L05ABDR2G,
NC7WZ14P6,ON Semiconductor,3870,pcs,22+,0.079,"New and original, in stock",NC7WZ14P6X,
NC7WZ14P6X,ON Semiconductor,4080,pcs,22+,0.072,"New and original, in stock",NC7WZ14P6X,
NC7WZ16P6,ON Semiconductor,9030,pcs,22+,0.13,"New and original, in stock",NC7WZ16P6X,
NC7WZ16P6X,ON Semiconductor,2580,pcs,23+,0.15,"New and original, in stock",NC7WZ16P6X,
PD55003,STMicroelectronics, 1000,pcs,22+,35.71,"New and original, in stock",PD55003-E,
PD55015,STMicroelectronics, 1000,pcs,23+,52.17,"New and original, in stock",PD55015-E,
PD85035E,STMicroelectronics,2400,pcs,21+,29.29,"New and original, in stock",PD85035STR1-E,
PMBT4403,NXP Semiconductors,13800,pcs,21+,0.01,"New and original, in stock",PMBT4403,
PMBTA42,NXP Semiconductors,32100,pcs,21+,0.03,"New and original, in stock",PMBTA42,
SMBYT01,STMicroelectronics, 1730,pcs,15+,0.15,"New and original, in stock",SMBYT01-400,
SMP100LC-160,STMicroelectronics,6300,pcs,20+,1.58,"New and original, in stock",SMP100LC-160,
SN65LVDT2DBVT,Texas Instruments,3000,pcs,22+,3.14,"New and original, in stock",SN65LVDT2DBVR,
SN74LVC16T245DGGR,Texas Instruments, 20000,pcs,22+,1.02,"New and original, in stock",SN74LVC16T245DGGR,
SN74LVC1G139DCUX,Texas Instruments,16800,pcs,21+,0.22,"New and original, in stock",SN74LVC1G139DCUR,
TC620CVOA,Microchip, 400,pcs,22+,2.61,"New and original, in stock",TC620CVOA,
TDA8541G-S08-R,NXP Semiconductors, 2518,pcs,21+,1,"New and original, L/T: 2-3 weeks",TDA8541G-S08-R,
THS4221DGKX,Texas Instruments, 500,pcs,19+,2.17,"New and original, in stock",THS4221DGKR,
TPS62262DRVX,Texas Instruments,16800,pcs,21+,0.61,"New and original, in stock",TPS62262DRVR,
TPS72101DBVT,Texas Instruments,2250,pcs,20+,0.99,"New and original, L/T: 2-3 weeks",TPS72101DBVR,
TPS76350DBVT,Texas Instruments,2400,pcs,22+,0.43,"New and original, in stock",TPS76350DBVR,
TPS78633DCQ,Texas Instruments,1500,pcs,21+,1.16,"New and original, in stock",TPS78633DCQ,
VS-10BQ030-M3,Vishay, 17800,pcs,21+,0.09,"New and original, in stock",VS-10BQ030-M3/5BT,
VS-10BQ040-M3,Vishay,33600,pcs,21+,0.065,"New and original, in stock",VS-10BQ040-M3/5BT,
VS-MUR2020CT/PbF,Vishay,17850,pcs,23+,0.49,"New and original, in stock",VS-MUR2020CT-M3,
XC2C384-10TQG144I,Xilinx, 2900,pcs,21+,264.29,"New and original, in stock",XC2C384-10TQG144I,
XCR3256XL-10TQG144I,Xilinx, 2000,pcs,22+,32.42,"New and original, in stock",XCR3256XL-10TQG144I,
